;0;1;2;3
450;TIMP3;TIM PARTICIPACOES SA;TIM PARTICIPACOES SA;02.558.115/0001-21
451;TKNO3;TEKNO SAINDUSTRIA E COMERCIO;TEKNO SA INDUSTRIA E COMERCIO;33.467.572/0001-34
452;TKNO4;TEKNO SAINDUSTRIA E COMERCIO;TEKNO SA INDUSTRIA E COMERCIO;33.467.572/0001-34
453;TOTS3;TOTVS SA;TOTVS SA;53.113.791/0001-22
454;TRBR3;TRANSBRASIL SA LINHAS AEREAS;TRANSBRASIL SA LINHAS AEREAS FALIDA;60.872.173/0001-21
455;TRBR4;TRANSBRASIL SA LINHAS AEREAS;TRANSBRASIL SA LINHAS AEREAS FALIDA;60.872.173/0001-21
456;TRIS3;TRISUL SA;TRISUL SA;08.811.643/0001-27
457;TUPY3;TUPY SA;TUPY SA;84.683.374/0001-49
458;TXRX4;TEXTIL RENAUXVIEW SA;TEXTIL RENAUXVIEW SA;82.982.075/0001-80
459;UCAS3;UNICASA INDUSTRIA DE MOVEIS SA;UNICASA INDUSTRIA DE MOVEIS SA;90.441.460/0001-48
460;UGPA3;ULTRAPAR PARTICIPACOES SA;ULTRAPAR PARTICIPACOES SA;33.256.439/0001-39
461;UNIP3;UNIPAR CARBOCLORO SA;UNIPAR CARBOCLORO SA;33.958.695/0001-78
462;UNIP5;UNIPAR CARBOCLORO SA;UNIPAR CARBOCLORO SA;33.958.695/0001-78
463;UNIP6;UNIPAR CARBOCLORO SA;UNIPAR CARBOCLORO SA;33.958.695/0001-78
464;USIM3;USINAS SID DE MINAS GERAIS SA-USIMINAS;USINAS SIDERURGICAS DE MINAS GERAIS SA;60.894.730/0001-05
465;USIM5;USINAS SID DE MINAS GERAIS SA-USIMINAS;USINAS SIDERURGICAS DE MINAS GERAIS SA;60.894.730/0001-05
466;USIM6;USINAS SID DE MINAS GERAIS SA-USIMINAS;USINAS SIDERURGICAS DE MINAS GERAIS SA;60.894.730/0001-05
467;VALE3;VALE SA;VALE SA;33.592.510/0001-54
468;VAMO3;VAMOS LOCACAO DE CAMINHOES, MAQUINAS E EQUIP SA;VAMOS LOCACAO DE CAMINHOES, MAQUINAS E EQUIPAMENTOS SA;23.373.000/0001-32
469;VIVA3;VIVARA PARTICIPACOES SA;VIVARA PARTICIPACOES SA;33.839.910/0001-11
470;VIVT4;TELEFONICA BRASIL SA;TELEFONICA BRASIL SA;02.558.157/0001-62
471;VLID3;VALID SOLUCOES SA;VALID SOLUCOES E SERVICOS DE SEGURANCA EM MEIOS DE PAGAMENTO E IDENTIFICACAO SA;33.113.309/0001-47
472;VSPT3;FERROVIA CENTRO-ATLANTICA SA;FERROVIA CENTRO ATLANTICA SA;00.924.429/0001-75
473;VSPT4;FERROVIA CENTRO-ATLANTICA SA;FERROVIA CENTRO ATLANTICA SA;00.924.429/0001-75
474;VVAR3;VIA VAREJO SA;VIA VAREJO SA;33.041.260/0652-90
475;WEGE3;WEG SA;WEG SA;84.429.695/0001-11
476;WHRL3;WHIRLPOOL SA;WHIRLPOOL SA;59.105.999/0001-86
477;WHRL4;WHIRLPOOL SA;WHIRLPOOL SA;59.105.999/0001-86
478;WIZS3;WIZ SOLUCOES E CORRETAGEM DE SEGUROS SA;WIZ SOLUCOES E CORRETAGEM DE SEGUROS SA;42.278.473/0001-03
478;BBAS3;BANCO BRASIL SA;BANCO BRASIL SA;00.000.000/0001-91
478;BMEB3;BANCO MERCANTIL DO BRASIL SA;BANCO MERCANTIL DO BRASIL SA;17.184.037/0001-10
478;BMEB4;BANCO MERCANTIL DO BRASIL SA;BANCO MERCANTIL DO BRASIL SA;17.184.037/0001-10
478;BNBR3;BANCO NORDESTE DO BRASIL SA;BANCO NORDESTE DO BRASIL SA;07.237.373/0001-20
478;BRPR3;BR PROPERTIES SA;BR PROPERTIES SA;06.977.751/0001-49
478;COGN3;COGNA EDUCACAO SA;COGNA EDUCACAO SA;02.800.026/0001-40
478;FLRY3;FLEURY SA;FLEURY SA;60.840.055/0001-31
478;LAME3;LOJAS AMERICANAS SA;LOJAS AMERICANAS SA;33.014.556/0001-96
478;LAME4;LOJAS AMERICANAS SA;LOJAS AMERICANAS SA;33.014.556/0001-96
